from,to,relacion,frecuencia,intention,moral,att,norms,conform,my_country,my_age,my_expert
Seniors-Amateur,Adults-Expert,Partner_breeder,2,4,0.4007986804621427,1.2686611383190822,0.45412575585973153,0.3927138776561628,Brazil,Seniors,Amateur
Seniors-Amateur,Adults-Expert,Partner_breeder,2,4,0.4007986804621427,1.2686611383190822,0.45412575585973153,0.3927138776561628,Brazil,Seniors,Amateur
Seniors-Amateur,Adults-Expert,Partner_breeder,2,4,0.4007986804621427,1.2686611383190822,0.45412575585973153,0.3927138776561628,Brazil,Seniors,Amateur
Seniors-Formation,Seniors-Expert,Partner_breeder,3,3,-0.30500146820841484,-0.7783705759971988,-1.183837239636322,-0.743787178817907,Brazil,Seniors,Formation
Seniors-Formation,Seniors-Expert,Partner_breeder,2,3,-0.30500146820841484,-0.7783705759971988,-1.183837239636322,-0.743787178817907,Brazil,Seniors,Formation
Seniors-Formation,Seniors-Expert,Partner_breeder,3,3,-0.30500146820841484,-0.7783705759971988,-1.183837239636322,-0.743787178817907,Brazil,Seniors,Formation
Seniors-No_breed,Adults-Amateur,Partner_breeder,3,2,-1.5850436992701018,-0.4027439804092131,-1.235311249732689,-0.743787178817907,Brazil,Seniors,No_breed
Seniors-No_breed,Adults-Amateur,Partner_breeder,3,2,-1.5850436992701018,-0.4027439804092131,-1.235311249732689,-0.743787178817907,Brazil,Seniors,No_breed
Adults-No_breed,Adults-Expert,Partner_breeder,2,5,0.5401403507081713,-1.1971223091935972,-0.3386309949813237,0.995282429464189,Brazil,Adults,No_breed
Adults-No_breed,YoungAdults-Formation,Partner_breeder,2,5,0.5401403507081713,-1.1971223091935972,-0.3386309949813237,0.995282429464189,Brazil,Adults,No_breed
Adults-No_breed,Adults-Expert,Partner_breeder,2,5,0.5401403507081713,-1.1971223091935972,-0.3386309949813237,0.995282429464189,Brazil,Adults,No_breed
Seniors-No_breed,Seniors-Expert,Partner_breeder,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Seniors,No_breed
Seniors-No_breed,Seniors-Expert,Partner_breeder,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Seniors,No_breed
Seniors-No_breed,Seniors-Expert,Partner_breeder,2,5,1.3807362709045503,1.2686611383190822,1.55510829456473,0.995282429464189,Brazil,Seniors,No_breed
Adults-No_breed,Adults-Expert,Avicultural_directive,2,4,-1.1794453396050255,-0.4327208387868628,-0.1343287110276904,0.12574762532314096,Brazil,Adults,No_breed
Seniors-Formation,Seniors-Expert,Experts,3,4,-1.4332753779510634,-0.29011866087203625,-1.772291706523744,0.7283161771311671,Brazil,Seniors,Formation
Seniors-Formation,Seniors-Expert,Avicultural_directive,3,4,-1.4332753779510634,-0.29011866087203625,-1.772291706523744,0.7283161771311671,Brazil,Seniors,Formation
Seniors-Formation,Adults-Expert,Avicultural_directive,3,4,-1.4332753779510634,-0.29011866087203625,-1.772291706523744,0.7283161771311671,Brazil,Seniors,Formation
Seniors-Formation,Seniors-Amateur,Partner_breeder,3,5,0.2444844604228972,-0.4327208387868628,-0.1343287110276904,0.995282429464189,Brazil,Seniors,Formation
YoungAdults-Amateur,Adults-Expert,Avicultural_directive,3,5,0.5401403507081713,0.5042596679123478,-0.1343287110276904,-0.743787178817907,Brazil,YoungAdults,Amateur
YoungAdults-Amateur,Adults-Expert,Partner_breeder,2,5,0.5401403507081713,0.5042596679123478,-0.1343287110276904,-0.743787178817907,Brazil,YoungAdults,Amateur
YoungAdults-Amateur,YoungAdults-Amateur,Partner_breeder,2,5,0.5401403507081713,0.5042596679123478,-0.1343287110276904,-0.743787178817907,Brazil,YoungAdults,Amateur
Adults-Expert,Adults-Expert,Partner_breeder,2,5,0.10514279017686864,0.22358271235673532,0.24982347190609824,0.12574762532314096,Portugal,Adults,Expert
